Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
57,2025-12-31 16:00,2026-01-02 05:00,SHORT,4336.80,4375.21,4375.21,4240.77,5.80,-222.94,10924.19,LOSS,"Stop Loss Hit"
58,2026-01-02 14:00,2026-01-04 23:00,SHORT,4364.70,4364.20,4397.31,4283.17,6.70,3.35,10927.54,BREAKEVEN,"Breakeven / Trailing SL"
59,2026-01-07 02:00,2026-01-07 05:00,LONG,4486.00,4461.06,4461.06,4548.35,8.76,-218.55,10708.99,LOSS,"Stop Loss Hit"
60,2026-01-07 16:00,2026-01-08 02:00,LONG,4474.20,4446.49,4446.49,4543.49,7.73,-214.18,10494.81,LOSS,"Stop Loss Hit"
61,2026-01-13 02:00,2026-01-13 16:00,LONG,4603.10,4603.60,4574.43,4674.78,7.32,3.66,10498.47,BREAKEVEN,"Breakeven / Trailing SL"
62,2026-01-14 00:00,2026-01-14 14:00,LONG,4616.90,4617.40,4589.30,4685.90,7.61,3.80,10502.28,BREAKEVEN,"Breakeven / Trailing SL"
63,2026-01-14 18:00,2026-01-14 23:00,LONG,4642.50,4615.39,4615.39,4710.27,7.75,-210.05,10292.23,LOSS,"Stop Loss Hit"
64,2026-01-15 15:00,2026-01-16 13:00,LONG,4620.20,4593.30,4593.30,4687.45,7.65,-205.84,10086.39,LOSS,"Stop Loss Hit"
65,2026-01-21 18:00,2026-01-21 19:00,LONG,4853.20,4812.25,4812.25,4955.59,4.93,-201.73,9884.66,LOSS,"Stop Loss Hit"
66,2026-01-21 20:00,2026-01-22 01:00,LONG,4830.00,4778.69,4778.69,4958.29,3.85,-197.69,9686.97,LOSS,"Stop Loss Hit"
67,2026-01-22 05:00,2026-01-22 21:00,LONG,4821.80,4935.72,4776.23,4935.72,4.25,484.35,10171.31,WIN,"Take Profit Target Hit"
68,2026-01-23 10:00,2026-01-25 23:00,LONG,4931.00,5017.74,4896.30,5017.74,5.86,508.57,10679.88,WIN,"Take Profit Target Hit"
69,2026-01-27 01:00,2026-01-28 01:00,LONG,5055.30,5194.12,4999.77,5194.12,3.85,533.99,11213.87,WIN,"Take Profit Target Hit"
